"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/measurements_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/measurements.csv?datainfo&rowcount&base_name=Brontosaurus"
"Access Time","Tue 2020-04-14 06:28:02 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Brontosaurus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.00249"
"Records Found","13"
"Records Returned","13"
"Records:"
"measurement_no","specimen_no","record_type","n_measured","position","measurement","average","min","max"
"36609","18832","mea","1","","length","1080","",""
"36610","18833","mea","1","","length","1130","",""
"36611","18834","mea","1","","length","1640","",""
"36612","18834","mea","1","","circumference","730","",""
"36613","18835","mea","1","","circumference","480","",""
"36740","18938","mea","1","","length","1100","",""
"36741","18939","mea","1","","width","127","",""
"36742","18939","mea","1","","length","755","",""
"36743","18940","mea","1","","length","740","",""
"168091","83670","mea","1","","length","1598","",""
"168092","83671","mea","1","","length","1001","",""
"200005","97680","mea","1","midshaft","width","310","",""
"200006","97680","mea","1","greatest","length","1830","",""
