"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&base_name=Tyrannosaurus"
"Access Time","Tue 2020-04-14 06:31:17 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Tyrannosaurus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0122"
"Records Found","79"
"Records Returned","79"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"11917","col","Scollard","-113.028900","51.906399","Knudsen's Coulee (NMC 9950)","","East of Huxley","1","Maastrichtian","","72.1","66","4205"
"11918","col","Scollard","-113.233330","51.933334","East of Huxley (NMC 9554)","","","1","Maastrichtian","","72.1","66","4205"
"14526","col","Lance","-108.853798","44.935799","Dumbbell Hill, Silver Tip Gulch","","","1","Lancian","","70.6","66","6201"
"14537","col","Hell Creek","-103.099998","45.500000","Eureka Quarry, SDSM loc. V637","","","1","Lancian","","70.6","66","66164"
"14538","col","Lance","-104.533302","43.166698","False Disciple Point","","UCMP V-5817","1","Lancian","","70.6","66","1239"
"14585","col","Lance","-104.637001","43.116329","Lull 2 Quarry (UCMP V-5620)","","Lull's Locality 2","1","Late Maastrichtian","","70.6","66","1239"
"14599","col","North Horn","-111.000000","39.000000","North Horn Mountain","","","1","Lancian","","70.6","66","1226"
"14610","col","Hell Creek","-103.300003","46.099998","PTRM V92067","","","1","Lancian","","70.6","66","1984"
"14640","col","Laramie","-104.491669","40.386391","Ken's Site","","UCM Loc. 77062; DMNH loc. 3426; UWBM loc. C1099","1","Lancian","","70.6","66","717"
"14674","col","Hell Creek","-106.099998","47.799999","Chris's Bonebed (CBB)","","MPM 2256","1","Late Maastrichtian","","70.6","66","2333"
"22654","col","Dinosaur Park","-111.525871","50.728848","RTMP BB 136","","ETE Locality 1528, Bonebed 136","1","Late Campanian","","83.5","70.6","5922"
"22657","col","Dinosaur Park","-111.524582","50.727234","RTMP BB 91a, Irishman's Coulee","","ETE Locality 1531, Bonebed 91a","1","Late Campanian","","83.5","70.6","5721"
"26760","col","Lance","-104.483330","43.049999","Dragon's Grave bonebed (PROXY)","","Edmontosaurus bonebed","1","Late Maastrichtian","","70.6","66","7389"
"38078","col","","44.059200","48.625599","Bereslavka (K/T) (reworked)","","","1","Maastrichtian","","72.1","66","10219"
"38544","col","Hell Creek","-107.083000","47.536201","LACM 7245, Engdahl Ranch","","Jordan theropod","2","Maastrichtian","","72.1","66","10351"
"45098","col","Hell Creek","-103.961700","45.948799","PTRM V91007, Doaks Butte","","","1","Maastrichtian","","72.1","66","11749"
"45099","col","Hell Creek","-103.961700","45.948799","PTRM V89004, Doaks Butte","","","1","Maastrichtian","","72.1","66","11749"
"45102","col","Hell Creek","-103.753899","45.977699","PTRM V89003","","","1","Maastrichtian","","72.1","66","11749"
"45109","col","Hell Creek","-103.766899","46.026402","PTRM V88018, Mud Buttes","","","1","Maastrichtian","","72.1","66","11749"
"45111","col","Hell Creek","-103.766899","46.026402","PTRM V87012, Mud Buttes","","","1","Maastrichtian","","72.1","66","11749"
"45112","col","Hell Creek","-103.766899","46.026402","PTRM V88017, Mud Buttes","","","1","Maastrichtian","","72.1","66","11749"
"45114","col","Hell Creek","-103.766899","46.026402","PTRM V88020, Mud Buttes","","","1","Maastrichtian","","72.1","66","11749"
"45118","col","Hell Creek","-103.766899","46.026402","PTRM V88004, Mud Buttes","","","1","Maastrichtian","","72.1","66","11749"
"45126","col","Hell Creek","-103.795403","46.136902","PTRM V92068","","","1","Maastrichtian","","72.1","66","11749"
"45128","col","Hell Creek","-103.939697","46.406399","PTRM V92002","","","1","Maastrichtian","","72.1","66","11749"
"45136","col","Hell Creek","-103.964401","46.381901","PTRM V86003, Pretty Butte","","","1","Maastrichtian","","72.1","66","11749"
"45138","col","Hell Creek","-103.023300","46.449799","PTRM V97002, Cannonball Creek","","","1","Maastrichtian","","72.1","66","11749"
"45141","col","Hell Creek","-104.023300","46.464298","PTRM V96022, Cannonball Creek","","","1","Maastrichtian","","72.1","66","11749"
"45144","col","Hell Creek","-103.897903","46.334000","PTRM V86002, East Marmarth","","","1","Maastrichtian","","72.1","66","11749"
"45145","col","Hell Creek","-103.897903","46.334000","PTRM V87006, East Marmarth","","","1","Maastrichtian","","72.1","66","11749"
"45146","col","Hell Creek","-103.897903","46.334000","PTRM V87004, East Marmarth","","","1","Maastrichtian","","72.1","66","11749"
"45299","col","Hell Creek","-104.002403","46.464298","PTRM V95016, Cannonball Creek","","","1","Maastrichtian","","72.1","66","11749"
"45312","col","Hell Creek","-104.002403","46.464298","PTRM V95025, Cannonball Creek","","","1","Maastrichtian","","72.1","66","11749"
"45381","col","Hell Creek","-103.897903","46.362900","PTRM V97024","","","1","Maastrichtian","","72.1","66","11749"
"45388","col","Hell Creek","-103.946098","45.939030","PTRM V92029, Doaks Butte","","","1","Maastrichtian","","72.1","66","11749"
"45389","col","Hell Creek","-103.946098","45.939030","PTRM V92027, Doaks Butte","","","1","Maastrichtian","","72.1","66","11749"
"45390","col","Hell Creek","-103.946098","45.939030","PTRM V92025, Doaks Butte","","","1","Maastrichtian","","72.1","66","11749"
"45878","col","Lance","-104.411598","43.441799","Seven Mile Creek (AMNH)","","L&W locality 30, Locality 17","1","Maastrichtian","","72.1","66","9259"
"47034","col","Hell Creek","-101.626297","45.530899","Concordia Hadrosaur Site","","CHS","1","Maastrichtian","","72.1","66","23425"
"48193","col","Hell Creek","-103.624443","45.651390","KJ9239 (DMNH 517)","","Stan T-rex site, KJ9239, 9308","1","Lancian","","70.6","66","7941"
"48847","col","Hell Creek","-106.455559","47.963890","Big Dry East Quarry","","Willis Ranch, Big Dry Creek","1","Maastrichtian","","72.1","66","54064"
"48848","col","Hell Creek","-106.455559","47.963890","Big Dry Quarry","","Big Dry Creek, Big Dry West","1","Maastrichtian","","72.1","66","54064"
"49005","col","Lance","-105.839996","48.286839","Sheba Mountain, Sieber Ranch (AMNH)","","Tyrannosaurus rex type, Fort Peck, Hell Creek","1","Maastrichtian","","72.1","66","9259"
"49523","col","Denver","-105.203766","39.751331","southwest end, South Table Mountain","","","2","Maastrichtian","","72.1","66","55544"
"49535","col","Denver","-105.110275","39.867500","south shores, Standley Lake (UCM)","","","1","Maastrichtian","","72.1","66","13266"
"49538","col","Denver","-105.016113","39.613335","Littleton (DMNH 612)","","","1","Maastrichtian","","72.1","66","51520"
"49539","col","Denver","-105.036667","39.836666","Oak Place, Westminster (DMNH 1513)","","","1","Maastrichtian","","72.1","66","13266"
"49547","col","Denver","-105.110275","39.867500","Promontory Pointe (DMNH 1927)","","","1","Maastrichtian","","72.1","66","13266"
"52871","col","Lance","-104.072433","43.128304","Alkali Creek (USNM)","","","1","Maastrichtian","","72.1","66","9095"
"54105","col","Frenchman","-108.816666","49.516666","Eastend ""Scotty"" site, RSM loc. 72F07-0022","","Chambery Coulee","1","Late Maastrichtian","","70.6","66","14627"
"55287","col","McRae","-107.149719","33.242222","Staton-LaPoint locality, NMMNH L-353","","Elephant Butte, Kettle Top Butte","1","Lancian","","70.6","66","6835"
"55353","col","Hell Creek","-107.083298","47.566700","Harley's Baby Triceratops, UCMP V-97006","","","1","Maastrichtian","","72.1","66","14848"
"57166","col","Lance","-104.650002","43.266701","Fish Tooth Hill, UCMP V-5918","","","1","Maastrichtian","","72.1","66","803"
"60172","col","Lance","-104.697777","43.368610","Zerbst Ranch Tracksite","","","1","Lancian","","70.6","66","17313"
"60766","col","Hell Creek","-107.083000","47.536201","Engdahl Ranch (LACM)","","Jordan","2","Maastrichtian","","72.1","66","64603"
"61888","col","Lance","-105.239166","42.648609","Schneider Creek [CM]","","","1","Maastrichtian","","72.1","66","17876"
"62533","col","Fruitland/Kirtland","-108.016945","36.324722","Coal Creek [USGS]","","Ojo Alamo","1","Late Campanian","","83.5","70.6","46330"
"64144","col","Subashi","89.856010","42.821259","Lianmuqin, Shanshan (IVPP Loc. 66012)","","Turpan, Shanshanosaurus type","1","Campanian","Maastrichtian","83.6","66","9258"
"69210","col","Javelina","-103.159576","29.438757","TMM 41436, Tornillo Flat, Big Bend NP","","","1","Maastrichtian","","72.1","66","19952"
"69624","col","Judith River","-109.651108","47.398056","Willow Creek (CM)","","","1","Late Campanian","","83.5","70.6","46207"
"74175","col","Hell Creek","-103.451668","45.062778","Ruby Site, Haystack Butte","","","1","Maastrichtian","","72.1","66","54013"
"75284","col","Ferris","-106.890236","41.934753","UW V-93037, Frankbabbaloo","","","1","Lancian","","70.6","66","2236"
"75286","col","Ferris","-107.000000","41.799999","UW V-93032, Theropod Cove","","UW V-86004","1","Lancian","","70.6","66","2236"
"75432","col","Ferris","-106.876312","41.939877","UW V-93007, Oedipus Rex","","","1","Lancian","","70.6","66","2236"
"75446","col","Ferris","-106.882240","41.935326","UW V-93035, Gor-Gor's Revenge","","","1","Lancian","","70.6","66","2236"
"88990","col","Hell Creek","-104.891388","45.730145","Homer Site (BMRP)","","","1","Late Maastrichtian","","70.6","66","29831"
"137722","col","Hell Creek","-103.502220","46.413055","Too Weathered, UCMP loc. V.86097","","UCMP V-86097","1","Lancian","","70.6","66","42536"
"137728","col","Hell Creek","-103.502220","46.413055","Sandy Overlook, UCMP loc. V.86101","","UCMP V-86101","1","Lancian","","70.6","66","42536"
"142325","col","Lance","-104.494812","43.422287","Snyder Creek (CM)","","","1","Maastrichtian","","72.1","66","46207"
"142753","col","Lance","-105.240425","45.349419","East Fork, Little Powder River","","","1","Maastrichtian","","72.1","66","46330"
"152248","col","Hell Creek","-110.602501","46.885277","Hell Creek","","","1","Maastrichtian","","72.1","66","48939"
"155214","col","Lomas Coloradas","-109.000000","31.000000","Cabullona Basin, unknown locality","","Tyrannosaur locality","1","Maastrichtian","","72.1","66","50612"
"157187","col","Hell Creek","-106.255913","47.732971","Fort Peck Lake, MOR HC-069","","","1","Late Maastrichtian","","70.6","66","51520"
"157188","col","Willow Creek","-114.106903","49.607498","Crowsnest Pass","","","1","Late Maastrichtian","","70.6","66","17477"
"157189","col","Hell Creek","-101.967880","45.053665","""Sue"" site (PROXY)","","","1","Late Maastrichtian","","70.6","66","51520"
"162855","col","Hell Creek","-107.000000","47.599998","McKeever Ranch, Snow Point (LACM)","","","1","Late Maastrichtian","","70.6","66","53020"
"183109","col","Hell Creek","-105.080002","45.660000","Lane's Little Jaw Site","","LLJS Quarry; LACM 7942","1","Maastrichtian","","72.1","66","61095"
"189003","col","Hell Creek","-104.549721","45.889168","Ninja Turtle locality","","Ekalaka","1","Late Maastrichtian","","70.6","66","63480"
"192251","col","Hell Creek","-103.488052","45.644169","Eureka Quarry anthills","","SDSM V638, V639, V640, V644, V645, V646","1","Lancian","","70.6","66","66164"
