"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&base_name=Velociraptor"
"Access Time","Tue 2020-04-14 06:42:48 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Velociraptor"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0122"
"Records Found","17"
"Records Returned","17"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"11582","col","Baruungoyot","99.599998","43.299999","Khermeen Tsav, Red Beds (PIN coll. 3142) [SMPE]","","Khermin Tsav; Khermin-Tsab; Hermiin Tsav, Soviet-Mongolian Paleontological Expedition","1","Campanian","","83.6","72.1","59136"
"22657","col","Dinosaur Park","-111.524582","50.727234","RTMP BB 91a, Irishman's Coulee","","ETE Locality 1531, Bonebed 91a","1","Late Campanian","","83.5","70.6","5721"
"22685","col","Djadokhta","103.333336","44.250000","Toogreeg Shire [PMPE]","","ETE Locality 1560, 1561, Fighting dinosaurs, Tugrikin Shire","1","Late Campanian","","83.5","70.6","10453"
"37184","col","Djadokhta","100.901947","43.664444","Ukhaa Tolgod (AMNH)","","","2","Campanian","","83.6","72.1","5757"
"46152","col","Djadokhta","104.000000","44.000000","Shabarakh Usu (AMNH loc. 12049)","","Protoceratops type, Flaming Cliffs, Bayn Dzak, Kwei-wa-ting trail, Bayan Zag","1","Late Campanian","","83.5","70.6","14566"
"50729","col","Minhe","106.982780","41.500557","Ulan-tsonch (SSE)","","Sino-Swedish Expedition","1","Campanian","Maastrichtian","83.6","66","69375"
"51033","col","Djadokhta","103.266670","44.216667","Tögrögiin Shiree [AMNH]","","Tugrig Shire, Toogreeg Shire, Tugrikin-Shiren, Tugrugeen Shireh","1","Late Campanian","","83.5","70.6","14285"
"53132","col","Dabrazhin","70.701363","40.692711","Kyrkkuduk I (Dabrazhin)","","Kyrk-Kuduk, Sary-Agach, Chingeldy ","1","Coniacian","Santonian","89.8","83.6","57423"
"55256","col","Djadokhta","103.302780","44.228333","Tugrikin Shire I [HMNS-GIN]","","Tögrögiin Shiree, Tugrig Shire, Toogreeg Shire","1","Late Campanian","","83.5","70.6","14738"
"62927","col","Djadokhta","103.564720","44.127499","Chimney Buttes (AMNH)","","","1","Campanian","","83.6","72.1","18146"
"62928","col","Djadokhta","104.000000","44.000000","Flaming Cliffs, Volcano sublocality","","Shabarakh Usu, Bayn Dzak","1","Campanian","","83.6","72.1","18147"
"65327","col","Baruungoyot","107.843613","43.663334","Ikh-Shunkht (SMPE)","","Soviet-Mongolian Paleontological Expedition","1","Campanian","","83.6","72.1","14217"
"71840","col","Zouyun","112.420006","40.040001","Tanankou, Hsingyaokou, Tzoyun (IVPP)","","Danangou","1","Late Cretaceous","","100.5","66","24279"
"83719","col","Bayan Mandahu","106.723892","41.788055","SBDE Quarry 99BM-III","","99BM3","1","Campanian","","83.6","72.1","28069"
"127668","col","Djadokhta","103.721390","44.145279","Bayn Dzak [HMNS-GIN]","","Shabarak Usu, Shavarakh Us","1","Late Campanian","","83.5","70.6","42153"
"127678","col","Djadokhta","102.909164","44.094166","Zhinst Tolgoi, Udyn Sayr [HMNS-GIN]","","Udan Sayr,","1","Campanian","","83.6","72.1","42292"
"168986","col","Djadokhta","103.288887","44.232777","Tugrikin Shire V [HMNS-GIN]","","Tögrögiin Shiree, Tugrig Shire, Toogreeg Shire","1","Campanian","","83.6","72.1","42291"
