"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&cc=TW"
"Access Time","Tue 2020-04-14 06:44:06 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","cc","TW"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.00849"
"Records Found","136"
"Records Returned","136"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"13488","col","Cholan","120.995834","24.575001","Chutung","","","37","Zanclean","","5.333","3.6","6103"
"206745","col","Liuchungchi","120.557220","23.428057","Chaiyi Niupu","","","4","Late Pliocene","Early Pleistocene","3.6","0.781","71066"
"39623","col","","121.000000","24.000000","West Formosa, Cretaceous Formation","","","3","Aptian","","125","113","10664"
"41730","col","Suichangliu","121.050003","23.908333","Suichangliu Formation, Peikeng-Hsi, Taiwan - Huang (2002)","","Peikeng-Hsi, Peishankeng area","1","Oligocene","","33.9","23.03","11165"
"41738","col","Shihmen","121.050003","23.908333","Shihmen Formation, Chiufenerhshan, Pinglin-hsi, Taiwan - Huang (2002)","","Pinglin-hsi, Taiwan","1","Early Miocene","","23.03","15.97","11167"
"41742","col","Shihmen","121.050003","23.908333","Shihmen Formation, Kuohsing, Pinglin-hsi, Taiwan - Huang (2002)","","Kuohsing, Taiwan","12","Early Miocene","","23.03","15.97","11167"
"63134","col","","122.000000","23.000000","Taiwan raised beach deposits","","","43","Pleistocene","Holocene","2.588","0","9353"
"63139","col","Riukiu limestone","122.000000","23.000000","Hanpei-zan (Taiwan) - Riukiu limestone","","","10","Late Pliocene","","3.6","2.588","9353"
"63140","col","Riukiu limestone","122.000000","23.000000","Kotobuki-yama (Taiwan) - Riukiu limestone","","","5","Late Pliocene","","3.6","2.588","9353"
"63141","col","Riukiu limestone","122.000000","23.000000","Taiko-zan (Taiwan) - Riukiu limestone","","","3","Late Pliocene","","3.6","2.588","9353"
