"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/colls/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/colls/list.csv?datainfo&rowcount&base_name=Psittacosaurus"
"Access Time","Tue 2020-04-14 08:51:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Psittacosaurus"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0132"
"Records Found","57"
"Records Returned","57"
"Records:"
"collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"25835","col","Yixian","120.733330","41.799999","Yixian ""bristled"" Psittacosaurus site (PROXY)","","","1","Late Barremian","Early Aptian","130","122.46","7186"
"28919","col","","85.666664","46.099998","Delunshan, IVPP site 64047","","Dlunshan, Wuerho","1","Early Cretaceous","","145","100.5","7931"
"39680","col","Ilek","87.957779","55.903332","Shestakovo-1","","LMCCE 004","1","Aptian","","125","113","68327"
"45166","col","Zhonggou","97.583336","41.575001","IVPP 9208-21 quarry, Mazongshan","","","1","Early Albian","Middle Albian","112.03","105.3","11755"
"45167","col","Zhonggou","97.966667","41.466667","IVPP 9208-30, Mazongshan","","","1","Barremian","Aptian","129.4","113","11756"
"46881","col","Bayan Gobi","106.083336","41.166668","Elesitai, SCDP","","Alxa","1","Aptian","","125","113","13174"
"46905","col","Ejinhoro","109.976997","39.120300","SCDP Yangpo, Ordos dinosaur site","","Yangpucie","1","Valanginian","Albian","139.8","100.5","12466"
"46906","col","Ejinhoro","109.976997","39.033401","SCDP Alouchaideng psittacosaur site","","Alucaideng","1","Valanginian","Albian","139.8","100.5","13174"
"46907","col","Ejinhoro","108.339500","39.883999","SCDP Ulan Obo vertebrate site","","","1","Valanginian","Albian","139.8","100.5","12466"
"46929","col","Ejinhoro","108.735001","39.704899","SCDP Hangginqi psittacosaur site","","","1","Valanginian","Albian","139.8","100.5","12466"
"46931","col","Luohandong","108.083336","38.916668","Laolonghuozi, Ordos Basin","","Laolonghuoze, SCDP","1","Valanginian","Early Hauterivian","139.8","130","13174"
"46934","col","Ejinhoro","108.410004","39.360001","Huamuxiao, Ordos Basin","","Muhuaxiao, Ordos, SCDP","2","Valanginian","Albian","139.8","100.5","13174"
"48930","col","On Gong","102.066704","41.416698","Hu Khung Ulan (AMNH quarry 714)","","Central Asiatic Expedition, AMNH loc. 9035, On Gong Gol, Hukongwulong","1","Aptian","Albian","125","100.5","62839"
"48931","col","","111.235275","44.275833","Khamaryn Ar [HMNS-GIN]","","KhA, HMNS-MPC","1","Early Cretaceous","","145","100.5","53793"
"48936","col","Öösh","102.733299","44.241501","Red Mesa, Artsa Bogdo (AMNH Loc. 11494)","","Oshih Basin, Psittacosaurus type","1","Early Cretaceous","","145","100.5","9632"
"48937","col","Öösh","102.733299","44.241501","Red Mesa, Artsa Bogdo (AMNH Loc. 11492)","","Oshih Basin, Oosh Basin, Ööshiin Nuur","2","Early Cretaceous","","145","100.5","13097"
"48939","col","Öösh","101.866699","44.748798","Mt. Uskuk, Tsagan Nor (AMNH 10514)","","Usskuk","2","Early Cretaceous","","145","100.5","9632"
"49343","col","","106.983330","41.500000","Tebch (SSE)","","Tebchi, Sino-Swedish Expedition, Haratologai, Haratologay","3","Aptian","","125","113","14779"
"49797","col","Lisangou","110.083336","41.016666","Guyang Basin dinosaur site","","","2","Early Cretaceous","","145","100.5","64010"
"50467","col","Yixian","120.872200","41.601398","Sihetun, Yixian bed 6 (25)","","","1","Late Barremian","Early Aptian","130","122.46","13533"
"50469","col","Yixian","120.872200","41.601398","Sihetun, Yixian bed 6 (28)","","","1","Late Barremian","Early Aptian","130","122.46","13533"
"50470","col","Yixian","120.872200","41.601398","Sihetun, Yixian bed 6 (29)","","","1","Late Barremian","Early Aptian","130","122.46","13533"
"52007","col","Khuren Dukh","108.398613","45.845833","Khuren-Dukh (PIN coll. 3386) [SMPE]","","Huren-duh, Hüren-Dukh, Soviet-Mongolian Paleontological Expedition","1","Middle Albian","Late Albian","109","99.6","33967"
