collection_no,Genus,lng,lat,n_occs,early_interval,late_interval
13352,Brontosaurus,-105.916199,42.152302,1,Kimmeridgian,Tithonian
22648,Brontosaurus,-106.048615,42.017776,1,Kimmeridgian,Tithonian
28366,Brontosaurus,-105.224701,38.539501,2,Kimmeridgian,Tithonian
36576,Brontosaurus,-108.728699,39.128502,1,Kimmeridgian,Tithonian
39368,Brontosaurus,-106.002197,41.893101,1,Kimmeridgian,Tithonian
39369,Brontosaurus,-106.002197,41.893101,1,Kimmeridgian,Tithonian
48161,Brontosaurus,-105.212502,38.541,1,Kimmeridgian,Tithonian
49338,Brontosaurus,-102.824997,36.897499,1,Late Kimmeridgian,Tithonian
52816,Brontosaurus,-105.908501,42.152802,2,Kimmeridgian,Tithonian
55487,Brontosaurus,-105.979721,41.893055,1,Kimmeridgian,Tithonian
57898,Brontosaurus,-105.886398,42.146099,1,Kimmeridgian,Tithonian
57900,Brontosaurus,-105.908424,42.149494,1,Kimmeridgian,Tithonian
57902,Brontosaurus,-105.908424,42.149494,1,Kimmeridgian,Tithonian
58516,Brontosaurus,-109.741203,38.710346,1,Kimmeridgian,Tithonian
74000,Brontosaurus,-106.07917,41.901386,1,Kimmeridgian,Tithonian
142335,Brontosaurus,-105.889999,42.1469,1,Kimmeridgian,Tithonian
142336,Brontosaurus,-105.916199,42.152302,1,Kimmeridgian,Tithonian
142337,Brontosaurus,-105.908424,42.149494,1,Kimmeridgian,Tithonian
188398,Brontosaurus,-106.27417,41.730278,1,Kimmeridgian,Tithonian
